"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","SLFCHG09","CSSRAT01","CSSRAT07","SUCCESS4","SUCCESS7","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","SATIS28","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","COLLGPA","Success_Latent","HistDisadv_fs","InstitEngage_fs"
5,5,5,5,3,4,1,1,3,2,3,3,4,2,2,2,5,3,1,2,6,8,2,0,1,0,8,7,1,1,1,4,4,5,4,6,8,5,1,3,-0.644394132160713,0.204307782485824,-0.71566310623313
5,5,5,5,5,4,5,3,3,4,4,3,5,4,5,4,3,2,1,1,3,6,1,0,0,1,14,5,2,3,1,4,3,13,8,8,8,7,1,5,0.41816368219865,-0.725980053113619,0.431253218025849
4,4,5,4,5,4,5,3,3,5,4,3,4,4,5,5,4,2,2,1,2,2,3,1,2,1,5,5,2,3,1,2,5,7,4,6,6,4,3,5,0.310772166726024,0.62130547351084,0.289324643816172
4,4,5,4,4,4,5,3,3,4,3,3,4,4,4,4,3,2,1,2,6,3,2,0,0,1,14,8,2,3,1,3,4,10,8,8,8,1,4,5,-0.140488137621743,-0.725980053113619,-0.0632889416870878
4,4,4,4,4,3,3,2,2,3,4,4,4,4,4,4,3,2,1,1,8,8,2,0,0,0,8,8,1,3,1,5,4,2,8,8,5,1,5,4,-0.297088611476105,0.126881677796713,-0.0289264277926778
4,4,4,4,4,3,5,2,3,3,4,3,4,3,1,3,4,2,1,1,2,2,2,0,1,1,4,7,2,2,1,4,5,14,8,5,5,2,3,3,-0.452292440038533,0.557034603363158,-0.485648074783883
5,5,5,5,3,4,4,2,3,5,5,3,5,3,5,5,3,2,1,1,1,1,3,1,1,1,5,7,1,4,1,3,4,8,7,6,6,5,2,4,-0.0883517171562233,0.621101831891414,0.55887323695599
5,5,4,4,4,3,5,3,3,4,2,3,3,4,4,3,4,3,1,1,8,8,3,1,0,0,9,6,1,1,1,5,4,16,5,6,3,1,1,5,-0.018132364969469,0.103660419190147,-0.441967061190981
5,4,5,4,4,4,4,3,3,5,5,4,5,5,5,5,4,1,1,1,8,8,2,0,1,0,12,8,2,3,1,3,3,2,4,4,3,4,4,4,0.0437666564572614,-0.377238302940992,0.777132289684139
4,4,4,4,4,3,3,3,3,2,4,3,3,3,4,4,3,2,1,1,6,6,2,0,2,1,3,7,1,3,1,3,2,5,4,4,6,4,2,5,-0.140488137621743,0.803479651970833,-0.482371559766235
5,5,4,5,4,5,5,3,2,3,4,5,5,3,5,4,4,2,1,1,8,8,4,1,0,0,5,8,1,3,1,5,5,2,8,7,4,1,3,5,0.145675190540327,0.448791370662436,0.220930175961871
4,2,4,2,5,3,4,2,3,2,4,5,2,4,2,2,4,2,1,2,3,3,3,1,2,1,4,8,2,3,1,4,4,3,5,5,6,5,5,4,-0.752596840600098,0.705330151387125,-0.848092203729828
4,4,4,4,3,3,4,2,3,2,2,2,2,2,2,2,4,3,1,1,8,8,5,1,1,0,8,3,2,3,1,2,4,7,6,6,5,3,4,4,-0.794731080507926,0.184964047372805,-1.3374633156466
4,4,5,4,4,3,4,2,2,4,4,3,3,3,1,4,2,3,1,1,6,3,1,0,2,1,5,5,2,3,1,2,5,4,4,6,3,2,3,3,-0.297088611476105,0.553240197103375,-0.62757664899356
5,5,5,5,4,3,4,2,3,4,5,4,5,4,5,5,4,3,1,1,8,6,3,1,1,0,10,6,2,3,1,5,3,10,5,7,4,2,1,4,0.165419658719498,-0.016110932154278,0.566809247620162
