"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","CSSRAT01","CSSRAT07","SUCCESS4","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","HistDisadv"
4,4,4,4,3,3,2,2,3,3,3,3,3,4,2,1,2,6,6,2,0,1,1,5,6,2,3,1,4,2,3,4,4,5,4,4,0.456890433232495
5,5,5,5,4,1,1,2,3,3,4,2,2,5,3,1,2,6,8,2,0,1,0,8,7,1,1,1,4,4,5,4,6,8,5,1,0.205906964880587
5,5,5,5,4,5,3,4,4,3,5,4,5,3,2,1,1,3,6,1,0,0,1,14,5,2,3,1,4,3,13,8,8,8,7,1,-0.707837715485084
4,4,5,4,4,5,3,5,4,3,4,4,5,4,2,2,1,2,2,3,1,2,1,5,5,2,3,1,2,5,7,4,6,6,4,3,0.599732151275174
4,4,5,4,4,5,3,4,3,3,4,4,4,3,2,1,2,6,3,2,0,0,1,14,8,2,3,1,3,4,10,8,8,8,1,4,-0.707837715485084
4,4,4,4,3,3,2,3,4,4,4,4,4,3,2,1,1,8,8,2,0,0,0,8,8,1,3,1,5,4,2,8,8,5,1,5,0.129833214586266
4,4,4,4,3,5,2,3,4,3,4,3,1,4,2,1,1,2,2,2,0,1,1,4,7,2,2,1,4,5,14,8,5,5,2,3,0.537318103191587
5,5,5,5,4,4,2,5,5,3,5,3,5,3,2,1,1,1,1,3,1,1,1,5,7,1,4,1,3,4,8,7,6,6,5,2,0.599922298599849
5,5,4,4,3,5,3,4,2,3,3,4,4,4,3,1,1,8,8,3,1,0,0,9,6,1,1,1,5,4,16,5,6,3,1,1,0.103052518886225
5,4,5,4,4,4,3,5,5,4,5,5,5,4,1,1,1,8,8,2,0,1,0,12,8,2,3,1,3,3,2,4,4,3,4,4,-0.362981021838155
4,4,4,4,3,3,3,2,4,3,3,3,4,3,2,1,1,6,6,2,0,2,1,3,7,1,3,1,3,2,5,4,4,6,4,2,0.778388714947949
5,5,4,5,5,5,3,3,4,5,5,3,5,4,2,1,1,8,8,4,1,0,0,5,8,1,3,1,5,5,2,8,7,4,1,3,0.437025189987816
4,2,4,2,3,4,2,2,4,5,2,4,2,4,2,1,2,3,3,3,1,2,1,4,8,2,3,1,4,4,3,5,5,6,5,5,0.680047938032841
4,4,4,4,3,4,2,2,2,2,2,2,2,4,3,1,1,8,8,5,1,1,0,8,3,2,3,1,2,4,7,6,6,5,3,4,0.183688044729997
4,4,5,4,3,4,2,4,4,3,3,3,1,2,3,1,1,6,3,1,0,2,1,5,5,2,3,1,2,5,4,4,6,3,2,3,0.535771805329771
5,5,5,5,3,4,2,4,5,4,5,4,5,4,3,1,1,8,6,3,1,1,0,10,6,2,3,1,5,3,2,5,7,4,2,1,-0.0152871802604866
5,5,5,5,3,3,2,3,4,3,4,5,4,4,2,1,2,6,2,3,1,0,1,3,4,2,3,1,3,4,8,4,6,5,5,3,0.605926621346975
5,5,5,5,4,4,2,3,4,4,3,4,3,4,2,1,1,8,8,2,0,1,0,12,7,1,3,1,4,2,8,6,7,3,1,2,-0.256556846362677
5,5,5,4,4,4,3,4,4,4,5,4,4,4,2,1,1,8,8,2,0,0,0,12,4,1,1,1,3,4,14,4,6,4,2,2,-0.337712595485103
4,4,5,5,5,3,3,4,4,4,4,2,4,3,1,1,2,8,3,1,0,1,0,8,7,2,3,1,5,3,15,4,6,5,4,2,0.118708149113598
4,4,5,4,4,4,3,3,3,2,4,4,4,3,2,1,1,8,6,2,0,1,0,8,7,2,3,1,5,4,9,5,7,3,1,1,0.118708149113598
4,4,4,4,3,4,2,2,3,3,4,4,4,4,2,1,2,1,1,3,1,1,1,3,7,2,3,1,3,5,6,6,5,4,4,2,0.686779817720436
5,5,5,5,5,5,3,5,4,1,5,4,4,4,2,1,2,1,1,3,1,1,1,8,8,2,3,1,5,5,8,8,7,5,3,3,0.265557685454061
